,ID_x,text,annotator,Not Determined,Equipment,Staff,Hygiene,Location,first_11,person,type,rating,first_7,ID_y
0,1,"Prices are rising while the centres are falling more and more. :( Many of the tools are really worn out and some are completely destroyed. The standard of the centres also varies a lot, which is sad when you live close to a center which is not prioritised so much, but still pays the same...",8413a258-Christian.csv,-1.0,-1.0,,,,prices are ,Christian,Priserne stiger,3.0,prices ,0.0
1,5,"Excellent center with good connection between price and experience. Value for money. It's ok and the staff is nice. The staff often cleans. You can buy many kinds of protein bars, drinks etc in the machines. There are an ok number of machines, weights etc. The mood in the center is good.",8413a258-Christian.csv,1.0,1.0,1.0,1.0,,excellent c,Christian,Udmærket center. Value for money,4.0,excelle,4.0
2,46,Cozy safe place as well as mega cute smiling staff,8413a258-Christian.csv,1.0,,1.0,,,cozy safe p,Christian,Hyggeligt trygt sted samt mega søde…,5.0,cozy sa,51.0
3,59,"Excellent gym with practically what to use. Totally worn down center however, and equipped also worn with shortcomings. There is room for improvement.",8413a258-Christian.csv,0.0,-1.0,,,,excellent g,Christian,Puregym Holmen,4.0,excelle,67.0
4,116,"Class customer service, which helps with unattractive errors on your own.",8413a258-Christian.csv,,,1.0,,,class custo,Christian,Klasse kundeservice,5.0,class c,127.0
5,125,Super good training as always with Anneli She's the best,8413a258-Christian.csv,,,1.0,,,super good ,Christian,Super god træning som altid med Anneli,5.0,super g,138.0
6,220,It made me sweat.,8413a258-Christian.csv,0.0,,,,,it made me ,Christian,PureGym Odense,5.0,it made,14.0
7,221,"Nice size fitness world, every thing a amateur could need, and even a lot of pros would consider the place to be well stocked with equipment.",8413a258-Christian.csv,1.0,1.0,,,,nice size f,Christian,PureGym Odense,4.0,nice si,15.0
8,271,Relative okay gym. Matrix machines are not the best and the Nautilus were better before renovation. Dumbbells are not put in the correct location and it is always overcrowded. Not enough machines compared to the demand.,8413a258-Christian.csv,0.0,-1.0,,,,relative ok,Christian,PureGym Copenhagen,3.0,relativ,65.0
9,272,They changed the cost of a guest fee from 50kr to 69kr and the new Matrix equipment is so so so uncomfortable. Since PureGym took over this place it is easily the worst gym in Østerbro!,8413a258-Christian.csv,-1.0,-1.0,,,,they change,Christian,PureGym Copenhagen,1.0,they ch,66.0
10,274,"Nice location, but very small center compared to how many people train there. You have to be lucky sometimes to get a treadmill. It has been a chronic problem since I started there last summer that many treadmills do not work, and unfortunately it is only getting worse. Has a good area in the basement for stretching",8413a258-Christian.csv,-1.0,-1.0,,,1.0,nice locati,Christian,PureGym Copenhagen,2.0,nice lo,68.0
11,275,"Top gym ! Top équipement, ideal for foreigners as it is possible to get daily / weekly pass.",8413a258-Christian.csv,1.0,,,,,top gym ! t,Christian,PureGym Copenhagen,5.0,top gym,69.0
12,308,"Great place and great staff, also Victor was very helpful ans answered all my questions very nice",8413a258-Christian.csv,1.0,,1.0,,,great place,Christian,PureGym Copenhagen,5.0,great p,102.0
13,309,"After renovation they made an ""open office"" environment in the changing room. Bizarre. And still no soap or shampoo in the shower.",8413a258-Christian.csv,-1.0,,,,,after renov,Christian,PureGym Copenhagen,4.0,after r,103.0
14,310,"Excellent gym. Many locations, good value for money, friendly staff, well equiped and huge variety of classes.",8413a258-Christian.csv,1.0,1.0,1.0,,,excellent g,Christian,PureGym Copenhagen,5.0,excelle,104.0
